"event","name","country","medal","day","win","sport","gender","type"
"Men's 800M - T52/53","PAEYO  PONGSAKORN","Thailand","Gold",2,1,"Athletics","Men","Singles"
"Men's 800M - T52/53","KRUNGGET  PICHET","Thailand","Silver",2,1,"Athletics","Men","Singles"
"Men's 800M - T52/53","INTASEN  SOPA","Thailand","Bronze",2,1,"Athletics","Men","Singles"
"Men's Javelin Throw - F44","YOHANIS BILI","Indonesia","Gold",2,1,"Athletics","Men","Singles"
"Men's Javelin Throw - F44","PHAN VAN DUNG","Vietnam","Silver",2,1,"Athletics","Men","Singles"
"Men's Javelin Throw - F44","SAN MHWE","Myanmar","Bronze",2,1,"Athletics","Men","Singles"
"Men's Javelin Throw - F54/55","SAHRI BIN HJ JUMAAT","Brunei Darussalam","Gold",2,1,"Athletics","Men","Singles"
"Men's Javelin Throw - F54/55","RIYADI NUGRAHA SAPUTRA UTAMA","Indonesia","Silver",2,1,"Athletics","Men","Singles"
"Men's Javelin Throw - F54/55","JOEL ADEGUE BALATUCAN","Philippines","Bronze",2,1,"Athletics","Men","Singles"
"Men's Javelin Throw - F56/57","CAO NGOC HUNG","Vietnam","Gold",2,1,"Athletics","Men","Singles"
"Men's Javelin Throw - F56/57","YIMBANCHANG SAKCHAI","Thailand","Silver",2,1,"Athletics","Men","Singles"
"Men's Javelin Throw - F56/57","ALAN SASTRA","Indonesia","Bronze",2,1,"Athletics","Men","Singles"
